objid,ra_1,dec_1,zph,zphErr,clean,zsp,zspErr,zfinal,zfinalErr,ztype,u,g,r,i,z,u_err,g_err,r_err,i_err,z_err,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,veldisp,veldisperr,subclass,instrument,survey,programname,class,Source_id,Isl_id,RA_2,E_RA,DEC_2,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,RA_max,E_RA_max,DEC_max,E_DEC_max,Maj,E_Maj,Min,E_Min,PA,E_PA,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,S_Code,Separation
1237666407366787267,355.726788557396,-0.550327682605,0.197969,0.036849,1,,,0.197969,0.036849,p,21.26987,19.64641,18.6277,18.17001,17.68261,0.1655472,0.02107297,0.01383831,0.01187559,0.02762412,0.1350808,0.105254,0.07281425,0.05410879,0.040247,,,,,,,,2415,2360,355.7268453521656,1.5032512236422117E-4,-0.5500824218334454,2.314303377787252E-4,6.18747516422465E-5,1.9006233606463628E-5,4.7618917847903E-5,9.122004383699262E-6,355.7268453521656,1.5032512236422117E-4,-0.5500824218334454,2.314303377787252E-4,0.0025742621123225292,5.459655311600368E-4,0.0020368690594918058,3.5242942699494767E-4,175.40254458683503,37.507416914478554,0.0025739493119182693,5.459655311600368E-4,0.0020368647882357616,3.5242942699494767E-4,175.40073466286367,37.507416914478554,0.0013074627621418003,5.459655311600368E-4,9.145894611061321E-4,3.5242942699494767E-4,172.93803564023696,37.507416914478554,0.001307302387412751,5.459655311600368E-4,9.145885957783546E-4,3.5242942699494767E-4,172.9362257162656,37.507416914478554,4.263382295395391E-5,8.169676795237863E-6,8.741791134525556E-6,-8.949228913479601E-8,9.940844165612361E-7,-8.272066054360039E-8,S,0.9063009435865685
1237666407366657041,355.358961979848,-0.544638908920087,0.726755,0.061184,0,,,0.726755,0.061184,p,20.89758,22.37538,21.83706,20.52922,19.68728,0.6208489,0.3989695,0.2172048,0.09703317,0.205471,0.1412964,0.1100972,0.07616476,0.05659858,0.04209894,,,,,,,,3168,3106,355.3592530970249,3.9244023679489114E-5,-0.5445222052353383,7.578177615601614E-5,3.4049648747458866E-4,2.6134224841711666E-5,2.1320180124066935E-4,1.0779748299503777E-5,355.3592530970249,3.9244023679489114E-5,-0.5445222052353383,7.578177615601614E-5,0.003057929258898688,1.7850886467929086E-4,0.0021076268817547834,9.229897510267787E-5,178.27421479454065,6.765623977439259,0.0030575588686851236,1.7850886467929086E-4,0.002107536878582148,9.229897510267787E-5,178.26893074790553,6.765623977439259,0.0021054149009960693,1.7850886467929086E-4,0.0010631286224107527,9.229897510267787E-5,179.02079608865427,6.765623977439259,0.002105163856512403,1.7850886467929086E-4,0.001063081216594631,9.229897510267787E-5,179.01551204201914,6.765623977439259,3.2032844069273365E-4,1.532000764109903E-5,1.0235108675260562E-5,-7.254616321006324E-7,5.140469966136152E-6,-5.832495730828668E-7,S,1.129053811603529
1237666408440922267,356.519309451367,0.361513672369549,0.115058,0.022385,1,0.1570598,5.830423E-6,0.1570598,5.830423E-6,s,19.62126,18.53246,18.01836,17.75969,17.72017,0.07372314,0.01105184,0.01019619,0.01013388,0.0332297,0.1143001,0.08906186,0.06161258,0.04578475,0.03405545,71.38078,21.16284,STARBURST,SDSS,sdss,southern,GALAXY,469,450,356.51939463258066,7.945693406338422E-5,0.36189085468881316,9.314796583982237E-5,1.7759104745294137E-4,2.5415452023156583E-5,1.4183871180572193E-4,1.2552537862051772E-5,356.51939463258066,7.945693406338422E-5,0.36189085468881316,9.314796583982237E-5,0.0024438632853526886,2.3296679527012211E-4,0.0020672919849844536,1.698471349799614E-4,150.51925011459517,23.406041582947708,0.0024438241323270424,2.3296679527012211E-4,0.0020672099423427706,1.698471349799614E-4,150.51543317172917,23.406041582947708,0.001319300954758046,2.3296679527012211E-4,5.260386155577351E-4,1.698471349799614E-4,120.2127315852263,23.406041582947708,0.0013192428835081835,2.3296679527012211E-4,5.260324662618149E-4,1.698471349799614E-4,120.2089146423603,23.406041582947708,1.4521827998560473E-4,1.6257063779062357E-5,1.2041510672133882E-5,-1.4397464838111773E-6,1.4570000530511606E-6,-1.4846456224404392E-6,S,1.3920509306321152
1237666407366853017,355.778126399071,-0.571714108606039,0.701236,0.056695,0,,,0.701236,0.056695,p,22.11183,22.26393,21.49234,20.60053,20.23888,0.6578998,0.1773358,0.1677399,0.06326228,0.1789338,0.1385131,0.1079285,0.07466441,0.05548366,0.04126965,,,,,,,,2257,2208,355.77841309246526,2.3869570035995805E-4,-0.5714070810414791,2.0273751487954415E-4,1.0341603721294972E-4,2.6491671167128996E-5,5.217963964522576E-5,9.413208279590809E-6,355.77841309246526,2.3869570035995805E-4,-0.5714070810414791,2.0273751487954415E-4,0.00309169278622154,5.921801739087583E-4,0.0025868653219746035,4.3953096371666776E-4,62.00255686814008,45.88700959210773,0.0030916496636303904,5.921801739087583E-4,0.0025865732696638217,4.3953096371666776E-4,62.001190893673225,45.88700959210773,0.002461731556918655,5.921801739087583E-4,0.001400195837999944,4.3953096371666776E-4,70.6786274840034,45.88700959210773,0.0024617208136975136,5.921801739087583E-4,0.0014000243437731377,4.3953096371666776E-4,70.67726150953654,45.88700959210773,7.595602204175814E-5,1.0163659835858137E-5,8.692773008078802E-6,-2.250324087071931E-7,1.5331717122535338E-6,-2.144715836038813E-7,S,1.5122179072286557
1237666408441184671,357.155032690854,0.283608588684743,0.492333,0.03261,1,0.5613688,3.168571E-4,0.5613688,3.168571E-4,s,25.64799,22.7342,20.60193,19.43675,19.11722,1.017061,0.2083242,0.1194853,0.0437569,0.1221264,0.1420882,0.1107142,0.07659157,0.05691575,0.04233486,357.706,61.92904,,BOSS,boss,boss,GALAXY,6,7,357.15529586742207,8.775279540271927E-5,0.2838652332466184,8.304459362826185E-5,1.9977161084257312E-4,2.1956543464210095E-5,1.1328546198068131E-4,8.520939593358831E-6,357.15529586742207,8.775279540271927E-5,0.2838652332466184,8.304459362826185E-5,0.0027475174755830596,2.110966132646233E-4,0.0025902949441721904,1.907370367121687E-4,61.457272222129376,53.79608394802618,0.0027470004486582476,2.110966132646233E-4,0.0025901749850321476,1.907370367121687E-4,61.45112537913184,53.79608394802618,0.002033001040476513,2.110966132646233E-4,0.0013767035406059792,1.907370367121687E-4,78.33899377562426,53.79608394802618,0.0020325373575338355,2.110966132646233E-4,0.0013766947425002858,1.907370367121687E-4,78.33284693262672,53.79608394802618,1.7380079317357594E-4,1.2241856432865563E-5,7.852660019125324E-6,9.939682854565035E-9,2.5754379748832434E-6,5.432502092617142E-8,S,1.323344715427
1237666407366787142,355.628880966406,-0.544677335203602,0.079648,0.019038,1,0.07871836,1.090003E-5,0.07871836,1.090003E-5,s,18.2116,17.04345,16.47118,16.11698,15.91288,0.02732149,0.005111742,0.004345123,0.004248693,0.008755712,0.1378789,0.1074343,0.07432257,0.05522963,0.0410807,98.85854,7.799613,STARFORMING,SDSS,sdss,legacy,GALAXY,2654,2601,355.6292348408864,2.3704248926983683E-4,-0.544457810589402,2.7636781932499204E-4,9.525861556252314E-5,2.6639163957376827E-5,4.6770082494686776E-5,9.238684733368303E-6,355.6292348408864,2.3704248926983683E-4,-0.544457810589402,2.7636781932499204E-4,0.003366850072810252,7.396665490151311E-4,0.0024411625350475273,4.335792781614183E-4,35.9268332013494,30.343853582875678,0.0033667000248700073,7.396665490151311E-4,0.002440955999804829,4.335792781614183E-4,35.92411450706507,30.343853582875678,0.0026793172519919525,7.396665490151311E-4,0.0013734802651130347,4.335792781614183E-4,44.58825558813338,30.343853582875678,0.0026792443987685957,7.396665490151311E-4,0.0013733402010767978,4.335792781614183E-4,44.585536893849046,30.343853582875678,6.622985132699305E-5,1.0771853279101502E-5,8.632925528218038E-6,-3.207410372851882E-7,1.7619394157009083E-6,-3.078453403304593E-7,S,1.4991175139551391
1237666407366787192,355.691218287961,-0.575453970550412,0.185999,0.02601,1,0.1669394,1.815409E-5,0.1669394,1.815409E-5,s,19.06088,18.24496,17.37155,17.01565,16.8085,0.07265069,0.01109572,0.007619186,0.007138342,0.01606442,0.1324852,0.1032316,0.07141514,0.0530691,0.03947366,138.5351,13.13109,STARFORMING,SDSS,sdss,legacy,GALAXY,2489,2436,355.6915241624752,1.3501340464230918E-4,-0.5750772414868021,2.5683894698567934E-4,8.776828181020862E-5,2.2259110226952574E-5,5.3849582027336746E-5,9.034429618995952E-6,355.6915241624752,1.3501340464230918E-4,-0.5750772414868021,2.5683894698567934E-4,0.0031344492861968363,6.128705679997843E-4,0.0020983593253049095,3.020710804366676E-4,169.28025951851407,21.14352845398807,0.0031340348344875025,6.128705679997843E-4,0.0020983584792715142,3.020710804366676E-4,169.278012885679,21.14352845398807,0.002223284061284212,6.128705679997843E-4,0.0010271710200686875,3.020710804366676E-4,166.2219781641806,21.14352845398807,0.002222989193295112,6.128705679997843E-4,0.001027171019640144,3.020710804366676E-4,166.2197315313455,21.14352845398807,6.450286455738482E-5,9.769426894202936E-6,8.597835403634235E-6,-1.4130770864539954E-7,1.0354144706070656E-6,-1.3792477204788156E-7,S,1.746926011052749
1237666408440922189,356.51449138755,0.273584112715894,,,0,,,,,p,24.14201,22.8312,21.94106,23.24909,21.60967,4.40482,0.2184273,0.2814652,1.743089,1.45899,0.1258217,0.09803944,0.06782323,0.05039993,0.03748829,,,,,,,,481,462,356.51507867919196,1.3424157505550338E-4,0.2744302435158261,1.765432072972189E-4,7.112083936549773E-5,2.138090432022754E-5,6.81603757121069E-5,1.1946220465568365E-5,356.51507867919196,1.3424157505550338E-4,0.2744302435158261,1.765432072972189E-4,0.0022295203282948583,4.2385600920294636E-4,0.0018884509175824923,3.0513771726598275E-4,16.29758743155724,46.3312951075112,0.002229503535472203,4.2385600920294636E-4,0.001888360798761341,3.0513771726598275E-4,16.294713103874955,46.3312951075112,0.0,4.2385600920294636E-4,0.0,3.0513771726598275E-4,0.0,46.3312951075112,0.0,4.2385600920294636E-4,0.0,3.0513771726598275E-4,0.0,46.3312951075112,5.33504252825052E-5,1.2685419160005179E-5,1.1885123058164027E-5,-1.3899413033868768E-6,6.278139039750386E-7,-1.3911470659877523E-6,S,3.707896743242453
1237666408440922722,356.607376559811,0.268119567935297,0.447199,0.021361,1,0.4566371,1.311621E-4,0.4566371,1.311621E-4,s,26.82801,20.93034,19.00957,18.34835,17.7786,1.70164,0.06632334,0.02380959,0.01671604,0.04406127,0.1239138,0.09655277,0.06679476,0.04963567,0.03691982,352.3069,46.8767,,SDSS,sdss,legacy,GALAXY,339,323,356.6082983399685,3.505265768348963E-5,0.26831549863089776,3.2525657385803404E-5,0.00305919176963344,8.958602390838755E-5,6.646826297865793E-4,1.1853059731947724E-5,356.60805738550084,3.505265768348963E-5,0.26820232293968566,3.2525657385803404E-5,0.00459977097443485,8.728837946190989E-5,0.0039588462477791846,7.113635832326272E-5,34.143428459713974,5.61571930560353,0.004599634974902481,8.728837946190989E-5,0.003958671459530939,7.113635832326272E-5,34.14018127530095,5.61571930560353,0.004116950929262415,8.728837946190989E-5,0.0034135116817162053,7.113635832326272E-5,42.66603889129019,5.61571930560353,0.004116784287331861,8.728837946190989E-5,0.003413398213542058,7.113635832326272E-5,42.662791706877165,5.61571930560353,0.0029170396090268426,4.448954436647564E-5,1.1853059731947724E-5,-1.127669293055078E-6,6.885992661409546E-6,-8.975031278168899E-7,M,3.392508428389641
1237666408440267593,355.155680057836,0.37097572150714,0.467321,0.074213,1,0.5778757,1.924478E-4,0.5778757,1.924478E-4,s,23.79365,23.08867,20.74626,19.52716,20.3104,1.497247,0.3378376,0.08096804,0.04309655,0.1881011,0.1242926,0.09684794,0.06699896,0.04978741,0.03703268,747.1591,341.1212,,BOSS,boss,boss,GALAXY,3399,3330,355.15616260758327,1.597505561883223E-4,0.3708055355160849,2.1902039757218234E-4,1.1158984076963603E-4,3.0908608289172304E-5,8.699838216883646E-5,1.4714989237432948E-5,355.15616260758327,1.597505561883223E-4,0.3708055355160849,2.1902039757218234E-4,0.002846750650434956,5.862759644924137E-4,0.0018181534509050783,2.5256630897336536E-4,148.20024030204036,19.004184213179265,0.00284669255518294,5.862759644924137E-4,0.0018180304775950267,2.5256630897336536E-4,148.20515661220946,19.004184213179265,0.001914465364490746,5.862759644924137E-4,0.0,2.5256630897336536E-4,138.7056012708107,19.004184213179265,0.0019144006909447928,5.862759644924137E-4,0.0,2.5256630897336536E-4,138.7105175809798,19.004184213179265,8.238196236893881E-5,1.6246393243594683E-5,1.451307616662234E-5,-8.688952561897167E-7,1.151640049101843E-6,-8.651279017612978E-7,S,1.8420175726209158
