ra_1,dec_1,z_noqso,ssfr_mean_1,age_1,age_mean_1,ssfr_1,z_sf_1,z_1,specobjid_sf,Column1,logMass,logMass_err,logMass_min,logMass_max,objid,ra_2,dec_2,raErr,decErr,zph,zphErr,clean,u,g,r,i,z_2,u_err,g_err,r_err,i_err,z_err,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,bestobjid,ra_spec,dec_spec,zsp,zspErr,veldisp,veldisperr,subclass,instrument,survey,programname,class,ssfr_mean_2,age_2,age_mean_2,ssfr_2,z_sf_2,specObjID,Separation
355.08644,1.2458505,0,-1.33567446831155,8.30928421020508,7.77248758390828,-1.41840445995331,0.006269236,0.006269236,433581994966804480,0,9.32143029727623,0.00871667937258685,9.30815406477496,9.32143029727623,1237678617415712900,355.086469514606,1.24585501046518,0.0367485623553853,0.0673912639105575,0.023483,0.006348,0,15.60943,14.68512,14.15904,13.90976,13.67349,0.01054826,0.002800972,0.003371054,0.002684917,0.006514552,0.1680239,0.1309231,0.090572,0.06730471,0.05006234,1237678617415712900,355.08644,1.2458505,0.006269236,8.405904E-06,0,25.154,STARFORMING,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.10746132418211267
355.51456,1.1612284,0,-1.05457427409088,6.13574314117432,6.13574314117432,-1.05447793006897,0.09035098,0.09035098,433592715205175296,0,10.4486241665276,0.00886195232563453,10.4486241665276,10.4486241665276,1237656909037437124,355.514565067366,1.16122208384138,0.0078409469123566,0.0115054927049264,0.071248,0.011985,1,18.38378,17.43266,16.98739,16.71667,16.62925,0.02461793,0.005343244,0.00539328,0.006174438,0.01790622,0.1239513,0.09658203,0.066815,0.04965071,0.036931,1237656909037437124,355.51456,1.1612284,0.09035098,7.365411E-06,50.80737,22.05271,STARBURST,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.029149222788706523
355.15137,0.54499327,0,-1.10467006546069,6.13574314117432,6.50804687034891,-1.05661308765411,0.04049608,0.04049608,433599037397035008,0,9.45468116585831,0.0220164591299422,9.45468116585831,9.49683544916801,1237663277925662909,355.15135081204,0.544987485470478,0.0293749494726046,0.0191779358224719,0.075077,0.018493,1,18.8717,17.99429,17.66505,17.39831,17.24837,0.04722879,0.008782336,0.008303707,0.009836017,0.02506173,0.1222508,0.095257,0.06589835,0.04896954,0.03642434,1237663277925662909,355.15137,0.54499327,0.04049608,8.843748E-06,45.75854,18.72947,STARFORMING,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.07214433056245365
357.01538,0.064011392,0,-0.973303916009008,5.26003503799438,5.29325462807445,-0.967901110649109,0.1892121,0.1892121,434672160829630464,0,10.5430899855683,0.0315299020962581,10.5283584130364,10.5868784505036,1237663784196112558,357.015389771142,0.0640532936891839,0.0189437831016276,0.0185799677153839,0.17396,0.029837,1,19.92402,19.06961,18.55509,18.22619,17.99286,0.06944238,0.01384964,0.01283231,0.01297082,0.0415477,0.1377063,0.1072998,0.07422953,0.0551605,0.04102927,1237663784196112558,357.01538,0.064011392,0.1892121,9.785039E-06,0,31.05772,STARBURST,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.15489318071979177
356.54837,0.9882692,0,-7.28270884443829,8.16641712188721,9.57292201200623,-2.53481006622314,0.09096501,0.09096501,434687004236605440,0,10.7471463096734,0.0275814602122443,10.7113617409924,10.7624776493573,1237663278463123661,356.548373016441,0.988270680670773,0.00533353692778648,0.00535913957834887,0.125834,0.018608,1,19.81006,18.52409,17.5651,17.07776,16.69269,0.07265832,0.008947873,0.006190525,0.00635891,0.01395886,0.1289996,0.1005156,0.06953625,0.05167289,0.03843514,1237663278463123661,356.54837,0.9882692,0.09096501,3.399708E-05,148.9587,13.66848,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.012095462047046706
354.54174,-0.14044597,0,-0.928915982380058,4.83231401443481,4.87391490675158,-0.922291576862335,0.2698531,0.2698531,767911607584974848,0,10.3363989710369,0.0484821564850616,10.3112138965733,10.3891314405383,1237657190902792418,354.541732128297,-0.140442341581867,0.0133463974062278,0.0138774824577468,0.301543,0.078211,1,21.20718,20.71397,20.03141,19.69934,19.63135,0.1468389,0.03463349,0.02648043,0.02647965,0.1098539,0.1625025,0.1266209,0.08759572,0.06509301,0.04841724,1237657190902792418,354.54174,-0.14044597,0.2698531,1.982082E-05,453.0504,103.1186,STARBURST,SDSS,sdss,southern,GALAXY,null,null,null,null,null,null,0.03120366413641234
354.7382,0.53335405,0,-8.8899935558889,7.51223564147949,7.228667596522,-2.36873841285706,0.3644453,0.3644453,768002042416359424,0,11.5612264179079,0.0739499683247506,11.4908481958929,11.6285292662746,1237663277925466629,354.738213580752,0.533353803868429,0.0213756876373983,0.015671382575973,0.364502,0.029722,1,20.88722,20.96825,19.62061,18.83605,18.51739,0.3909487,0.07107522,0.02448012,0.02233773,0.0575548,0.1598061,0.1245198,0.08614225,0.06401292,0.04761386,1237663277925466629,354.7382,0.53335405,0.3644453,0.0001249365,237.2921,33.47163,null,SDSS,sdss,southern,GALAXY,null,null,null,null,null,null,0.048896618065591556
354.98236,1.2325136,0,-1.19049968637206,5.69453907012939,6.75938677918624,-1.01311159133911,0.09558543,0.09558543,768019634602403840,0,9.67194733157848,0.0527912782090495,9.65643111295312,9.75253503626404,1237678617415647683,354.982346857429,1.23253970387952,0.0314161841644299,0.0257149593131762,0.155453,0.042112,1,20.44032,20.26439,19.66662,19.27741,18.98538,0.1835801,0.02713349,0.02150971,0.02661445,0.07614757,0.1613406,0.1257155,0.0869694,0.06462758,0.04807105,1237678617415647683,354.98236,1.2325136,0.09558543,1.470733E-05,106.1918,36.90615,null,SDSS,sdss,southern,GALAXY,null,null,null,null,null,null,0.10520748444996675
354.89049,1.0045819,0,-1.6057742857396,7.93071937561035,7.90712830622407,-1.59178829193115,0.1356096,0.1356096,768019909480310784,0,11.2965770881465,0.0247370869063435,11.2536363593949,11.2965770881465,1237663278462402704,354.890512474331,1.00458135214952,0.0296403508413704,0.0301322197116864,0.099702,0.024968,1,20.60308,18.44504,17.68349,17.13902,16.85366,0.1457716,0.01974098,0.01058877,0.01042173,0.02434087,0.1354163,0.1055155,0.07299511,0.05424319,0.04034697,1237663278462402704,354.89049,1.0045819,0.1356096,2.947905E-05,146.0839,26.39136,STARFORMING,SDSS,sdss,southern,GALAXY,null,null,null,null,null,null,0.08091919444276438
355.06264,0.95488354,0,-1.03426076188996,5.69453907012939,5.86299734486328,-1.01098895072937,0.1170241,0.1170241,768022108503566336,0,10.9424160237804,0.0127936373166833,10.9424160237804,10.9610981685354,1237663278462468282,355.062618011702,0.954865965673313,0.00903721751126938,0.00766205925630024,0.084185,0.021871,1,18.5512,17.48902,16.85883,16.49999,16.21295,0.0357426,0.006165589,0.00522996,0.00566928,0.01401514,0.1339646,0.1043843,0.07221258,0.05366169,0.03991444,1237663278462468282,355.06264,0.95488354,0.1170241,1.042651E-05,108.4374,10.59463,STARFORMING,SDSS,sdss,southern,GALAXY,null,null,null,null,null,null,0.10132627899572322
